"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"경상남도","창원시 진해구","여","0","5","2","2","4","0","0","0","0","0","0","0","25","0","0","0","0","4","37","253","42","31","158","373","4","1","208","14"
"경상남도","통영시","남","0","1","8","1","0","0","3","0","4","1","0","1191","14","1","0","0","0","27","1338","106","9","1","57","30","9","0","115","0"
"경상남도","통영시","여","0","1","3","0","1","0","2","1","1","1","0","0","17","0","0","0","1","0","39","168","29","3","77","350","5","0","77","0"
"경상남도","하동군","남","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","6","161","45","2","0","4","0","3","0","6","0"
"경상남도","하동군","여","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","1","73","70","9","0","22","137","0","0","4","0"
"경상남도","함안군","남","0","0","0","5","2","0","0","0","2","1","0","0","3","1","0","0","0","46","2551","79","4","3","54","22","120","0","105","0"
"경상남도","함안군","여","0","0","1","1","1","0","0","0","1","0","0","0","8","0","0","0","0","1","89","141","16","10","77","218","12","0","41","0"
"경상남도","함양군","남","0","0","0","1","0","0","2","0","1","0","0","0","3","0","0","0","0","1","128","35","2","0","11","4","0","0","6","0"
"경상남도","함양군","여","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","10","51","8","0","37","99","0","0","3","0"
"경상남도","합천군","남","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","202","33","0","0","9","0","0","0","12","0"
"경상남도","합천군","여","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","50","60","9","0","33","116","1","0","1","0"
"경상북도","경산시","남","0","81","1186","1","954","0","3","15","8","2","106","0","44","39","0","0","8","44","2080","181","48","97","115","100","121","0","156","1"
"경상북도","경산시","여","0","77","1217","4","788","0","4","0","1","0","30","0","33","10","0","0","5","10","221","285","65","204","137","558","20","5","128","2"
"경상북도","경주시","남","1","16","357","14","448","0","4","0","8","7","6","506","27","2","0","0","17","67","2717","520","40","30","160","108","250","1","1312","0"
"경상북도","경주시","여","2","23","434","0","399","0","2","0","1","1","1","0","27","1","0","0","23","7","131","694","72","28","204","679","12","0","828","1"
"경상북도","고령군","남","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1318","31","3","2","18","3","24","0","25","0"
"경상북도","고령군","여","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","94","58","11","3","18","106","2","0","20","0"
"경상북도","구미시","남","0","19","108","23","73","0","10","0","88","1","0","0","38","7","0","0","0","38","1918","218","17","32","155","116","38","0","303","1"
"경상북도","구미시","여","0","2","57","21","33","0","5","1","1","0","0","0","43","0","0","0","26","11","316","360","74","58","266","746","11","2","213","0"
"경상북도","군위군","남","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","403","16","0","0","4","2","6","0","3","0"
"경상북도","군위군","여","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","27","5","0","5","70","2","0","2","0"
"경상북도","김천시","남","0","10","74","1","160","0","2","0","0","1","0","0","9","3","0","0","0","7","768","78","14","11","25","20","13","0","67","0"
"경상북도","김천시","여","0","3","94","5","171","0","2","0","0","1","2","0","11","3","0","0","6","2","76","140","26","10","60","256","5","0","24","0"
"경상북도","문경시","남","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","0","2","3","171","35","4","1","23","9","5","0","33","0"
"경상북도","문경시","여","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","2","1","16","70","14","0","30","173","2","0","21","1"
"경상북도","봉화군","남","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","74","18","4","0","5","3","0","0","6","0"
"경상북도","봉화군","여","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","6","26","4","2","25","121","0","0","3","0"
"경상북도","상주시","남","0","0","13","0","0","0","8","0","1","0","0","0","8","1","0","0","0","1","224","81","4","2","22","11","2","0","21","0"
"경상북도","상주시","여","0","0","7","0","0","0","3","0","0","1","0","0","8","0","0","0","2","0","19","118","22","4","50","260","1","0","19","0"
"경상북도","성주군","남","0","0","0","0","0","0","1","0","1","1","1","0","2","0","0","0","0","4","1149","40","2","0","15","3","27","0","48","1"
"경상북도","성주군","여","0","0","0","0","3","0","1","0","0","0","0","0","2","0","0","0","0","1","115","70","13","2","19","158","1","1","27","0"
"경상북도","안동시","남","0","7","74","0","17","0","2","0","3","0","4","0","22","6","5","0","0","9","347","117","6","1","26","24","2","0","41","0"
"경상북도","안동시","여","3","5","62","0","24","0","2","0","0","0","0","0","21","0","0","0","6","1","14","161","16","9","64","332","2","0","30","0"
"경상북도","영덕군","남","0","1","0","0","0","0","0","0","0","0","0","387","3","0","0","0","0","7","281","16","0","0","5","2","1","0","8","0"
"경상북도","영덕군","여","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","42","37","4","1","24","111","1","0","10","0"
"경상북도","영양군","남","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","27","35","0","0","0","0","0","0","1","0"
"경상북도","영양군","여","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","48","3","0","12","79","0","0","1","0"
"경상북도","영주시","남","0","0","90","0","40","0","0","0","0","0","3","0","11","0","0","0","0","8","267","78","2","5","9","5","8","0","35","0"
"경상북도","영주시","여","0","1","49","1","14","0","1","0","0","0","1","0","20","0","0","0","0","0","6","126","14","1","33","251","1","0","17","0"
"경상북도","영천시","남","0","0","5","9","362","0","2","0","1","0","0","1","7","0","0","0","0","9","1943","109","4","2","35","21","16","0","112","2"
"경상북도","영천시","여","0","0","8","0","177","0","1","0","0","0","0","0","4","0","0","0","5","2","105","169","17","5","76","279","3","1","53","1"
"경상북도","예천군","남","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","3","136","59","8","0","6","7","2","0","9","0"
"경상북도","예천군","여","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","18","92","10","1","24","145","0","0","6","0"
"경상북도","울릉군","남","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","3","79","2","2","1","3","0","0","0","5","0"
"경상북도","울릉군","여","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","2","1","8","8","0","0","3","0"
"경상북도","울진군","남","0","0","0","0","0","0","0","0","0","0","0","637","9","0","0","1","0","2","464","24","2","1","11","5","0","0","17","0"
"경상북도","울진군","여","0","0","0","0","0","0","2","0","0","0","0","0","7","0","0","0","0","0","4","40","6","0","22","98","0","0","11","0"
"경상북도","의성군","남","0","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0","1","239","44","3","0","7","3","1","0","22","0"
"경상북도","의성군","여","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","19","61","6","0","34","147","0","0","13","0"
